nWord_title,nStanza,q3_nSyll_lg,MADmed_nSyll_lg,rstd_nSyll_lg,rhyme_abcdb,rhyme_abca,rhyme_aaaa,q1_nWord_l,MADmed_nSyll_l,SCONJ,DET,ADP,med_lenWord,PUNCT,range_lenAll,class_label
3,6,28.0,0.0,0.0,0,1,0,4.0,0.0,0,10,0,3.0,54.0,1.0,1
3,6,30.0,0.0,0.0,0,0,0,5.0,0.0,0,19,1,5.0,29.0,0.0,1
3,12,39.0,0.0,0.487,0,0,0,2.0,2.0,1,9,0,5.0,84.0,5.0,1
3,4,35.0,0.0,0.014,0,0,0,2.75,0.0,2,9,2,5.0,23.0,3.0,1
3,5,23.0,0.0,0.0,0,0,0,3.0,0.0,0,2,1,5.0,12.0,0.0,1
3,3,39.0,0.0,0.0,0,0,0,3.0,0.5,5,7,0,5.0,17.0,2.0,1
3,3,31.0,0.0,0.0,0,0,0,3.0,0.5,0,2,1,5.0,14.0,0.0,1
3,7,25.0,0.0,0.0,0,0,0,4.0,0.0,2,4,1,5.0,27.0,1.0,1
4,8,28.25,0.0,0.026,0,0,0,2.0,2.0,1,10,1,5.0,45.0,1.0,1
3,4,44.25,0.5,0.029,3,0,0,3.75,1.0,0,4,3,5.0,30.0,1.0,1
4,3,33.0,0.0,0.0,0,0,0,3.75,0.0,1,7,0,4.0,13.0,4.0,1
3,4,32.0,0.0,0.0,0,0,0,3.0,1.0,1,4,1,5.0,20.0,1.0,1
4,3,22.0,0.0,0.0,0,0,0,3.0,0.0,0,7,0,4.0,8.0,2.0,1
3,3,44.0,0.0,0.0,2,0,0,3.0,1.0,0,5,0,5.0,21.0,3.0,1
3,3,47.5,0.0,0.012,1,0,0,4.0,0.0,1,6,1,5.0,22.0,1.0,1
3,4,27.0,0.0,0.0,0,0,0,4.0,0.0,1,5,0,5.0,21.0,1.0,1
3,5,36.0,0.0,0.0,0,0,0,4.0,0.0,1,11,2,5.0,20.0,2.0,1
3,6,28.0,0.0,0.0,0,0,0,3.0,0.0,0,9,0,5.0,21.0,2.0,1
3,5,50.0,2.0,0.079,3,0,0,4.0,1.0,1,12,5,5.0,34.0,1.0,1
3,10,18.0,0.0,0.0,0,0,0,4.0,0.0,0,8,1,5.0,30.0,1.0,1
3,7,33.0,0.0,0.011,0,0,0,3.75,0.5,2,13,3,5.0,26.0,1.0,1
3,6,38.0,0.0,0.0,0,0,0,3.0,0.0,0,4,6,5.0,35.0,3.0,1
4,4,37.0,0.0,0.0,0,0,0,4.75,0.0,2,8,1,4.0,26.0,1.0,1
3,9,24.0,0.0,0.0,0,0,0,4.0,0.0,0,14,0,4.0,36.0,2.0,1
3,3,36.0,0.0,0.0,0,0,0,4.0,0.0,2,5,0,4.0,19.0,1.0,1
3,5,27.0,0.0,0.026,0,0,0,4.0,1.0,0,6,3,5.0,37.0,1.0,1
4,2,36.0,0.0,0.0,0,0,0,3.0,0.0,1,0,0,5.0,10.0,2.0,1
4,3,36.0,0.0,0.0,0,0,0,4.75,0.0,5,7,0,4.0,20.0,0.0,1
5,4,34.0,0.0,0.0,0,0,0,4.0,0.5,0,9,3,5.0,15.0,1.0,1
3,5,27.0,0.0,0.0,0,0,0,3.5,0.0,1,5,1,5.0,20.0,4.0,1
3,7,33.0,0.0,0.011,0,0,0,3.0,0.0,1,20,1,4.0,31.0,1.0,1
3,4,45.0,0.0,0.0,0,0,0,4.0,0.0,0,12,1,5.0,25.0,1.0,1
3,3,30.0,0.0,0.0,0,0,0,2.0,1.5,0,3,0,5.0,14.0,1.0,1
3,6,32.0,0.0,0.013,0,0,0,4.0,1.0,1,10,0,4.0,30.0,2.0,1
3,3,63.0,0.0,0.0,0,0,0,3.0,0.0,2,12,1,5.0,32.0,0.0,1
3,7,42.0,0.0,0.0,7,0,0,3.0,0.0,0,17,2,5.0,50.0,1.0,1
3,6,27.0,0.0,0.0,0,0,0,5.0,0.0,2,4,0,5.0,28.0,0.0,1
3,5,36.0,0.0,0.0,0,0,0,4.0,0.0,4,5,0,4.0,27.0,1.0,1
3,2,37.5,1.0,0.038,0,1,0,4.75,0.0,3,8,0,4.0,8.0,1.0,1
3,3,33.0,0.0,0.0,0,0,0,3.0,0.0,0,8,0,5.0,20.0,1.0,1
3,4,38.0,0.0,0.0,0,0,0,4.0,0.0,0,1,2,6.0,25.0,1.0,1
3,4,35.0,0.0,0.014,0,0,0,3.75,0.0,1,6,0,5.0,20.0,1.0,1
3,5,48.0,0.0,0.009,0,0,0,4.0,0.0,1,8,0,5.0,41.0,1.0,1
3,7,35.0,0.0,0.0,0,0,0,4.0,0.0,1,13,1,4.0,43.0,3.0,1
3,8,34.0,0.0,0.0,0,0,0,3.0,0.5,1,8,1,5.0,37.0,5.0,1
3,5,42.0,0.0,0.0,0,0,0,4.0,0.0,3,11,0,4.0,37.0,1.0,1
3,4,28.0,0.0,0.0,0,0,0,2.75,0.0,1,2,1,6.0,16.0,2.0,1
3,4,28.0,0.0,0.0,0,0,1,2.75,0.0,0,2,1,5.0,20.0,1.0,1
3,3,42.0,0.0,0.0,0,0,0,5.75,0.5,1,9,0,5.0,19.0,1.0,1
3,4,18.0,0.0,0.0,0,0,0,2.75,0.0,0,4,0,5.0,10.0,2.0,1
3,8,42.0,0.0,0.0,0,0,0,5.0,0.5,5,7,3,5.0,54.0,1.0,1
3,4,31.0,0.0,0.0,0,0,0,4.0,0.5,1,5,4,5.0,18.0,3.0,1
3,2,31.0,0.0,0.0,0,2,0,3.5,0.0,0,3,0,4.5,11.0,0.0,1
3,6,34.0,0.0,0.0,0,0,0,4.0,0.5,2,9,1,5.0,34.0,2.0,1
3,6,30.0,0.0,0.0,0,0,0,3.0,0.5,4,5,2,5.0,28.0,1.0,1
3,3,36.0,0.0,0.0,0,0,0,3.0,2.0,4,2,0,5.0,18.0,2.0,1
3,7,27.0,0.0,0.0,0,0,0,4.0,0.0,1,3,1,5.0,25.0,1.0,1
3,3,32.0,0.0,0.0,0,0,0,3.0,0.5,2,3,0,5.0,15.0,2.0,1
3,2,51.0,0.0,0.0,0,0,0,3.0,0.5,0,4,1,5.0,19.0,3.0,1
3,3,41.0,0.0,0.0,2,0,0,3.0,0.0,1,3,0,5.0,11.0,1.0,1
3,6,27.0,0.0,0.0,0,0,0,3.25,0.0,0,9,2,5.0,20.0,1.0,1
3,5,27.0,0.0,0.0,0,0,0,4.0,0.0,0,8,2,5.0,19.0,3.0,1
3,4,36.0,0.0,0.0,0,3,0,4.0,0.0,4,10,2,5.0,26.0,0.0,1
3,2,30.75,2.5,0.12,0,0,0,3.0,0.0,2,1,0,5.0,10.0,0.0,1
3,4,45.0,0.0,0.0,0,0,0,4.0,0.0,1,6,2,5.0,28.0,1.0,1
3,3,35.0,0.0,0.0,3,0,0,3.0,1.0,3,9,0,4.5,13.0,1.0,1
3,2,31.0,0.0,0.0,0,0,0,3.75,0.5,1,4,0,4.0,7.0,0.0,1
3,4,42.0,0.0,0.0,4,0,0,3.0,0.0,4,3,0,5.0,27.0,1.0,1
3,7,24.0,0.0,0.0,0,0,0,2.0,0.0,0,0,0,6.0,34.0,1.0,1
3,4,31.0,0.0,0.0,0,0,0,3.0,0.0,2,6,0,5.0,15.0,0.0,1
3,2,36.0,0.0,0.0,0,0,0,3.75,0.0,1,1,0,6.0,12.0,1.0,1
3,3,36.0,0.0,0.0,0,0,0,4.0,0.0,0,3,0,5.0,22.0,3.0,1
3,4,36.0,0.0,0.0,0,3,0,3.0,2.0,0,7,1,5.0,15.0,0.0,1
3,3,30.5,0.0,0.019,0,0,0,3.0,1.0,0,3,1,5.0,14.0,1.0,1
3,6,34.0,0.0,0.012,0,0,0,4.0,0.0,2,12,2,5.0,33.0,1.0,1
3,6,32.0,0.0,0.0,0,0,0,3.0,0.0,1,4,1,5.0,40.0,1.0,1
3,6,30.0,0.0,0.0,5,0,0,2.0,0.0,2,3,0,5.0,30.0,4.0,1
3,11,18.0,0.0,0.0,0,0,0,3.0,0.0,0,16,0,4.0,25.0,1.0,1
3,13,35.0,0.0,0.0,0,0,0,4.0,0.0,5,27,1,4.0,70.0,3.0,1
3,9,20.0,0.0,0.0,0,0,0,5.0,0.0,0,16,0,4.0,24.0,1.0,1
3,4,49.0,0.0,0.0,0,0,0,4.75,1.0,1,12,1,5.0,31.0,1.0,1
3,8,31.0,0.0,0.0,0,0,0,4.0,0.5,2,19,0,4.0,43.0,2.0,1
3,8,27.0,0.0,0.0,0,0,0,3.0,0.0,1,5,0,5.0,38.0,3.0,1
3,3,36.0,0.0,0.0,0,3,0,3.0,0.0,1,3,1,5.0,16.0,2.0,1
3,4,27.0,0.0,0.0,0,0,0,5.0,0.0,0,6,0,5.0,21.0,2.0,1
3,3,34.0,0.0,0.0,0,3,0,4.0,0.5,0,7,0,4.5,17.0,1.0,1
3,4,42.0,0.0,0.012,0,0,0,4.0,0.0,1,8,0,5.0,26.0,1.0,1
3,3,41.0,0.0,0.043,0,0,0,4.75,0.0,3,5,0,4.0,22.0,1.0,1
3,9,16.0,0.0,0.0,0,0,0,3.0,0.0,9,1,0,6.0,27.0,1.0,1
3,5,39.0,0.0,0.0,0,0,0,3.0,1.0,0,9,2,5.0,27.0,1.0,1
3,5,35.0,0.0,0.0,0,0,0,3.0,0.0,1,12,1,5.0,22.0,0.0,1
3,6,43.0,0.0,0.0,5,0,0,3.0,0.0,2,9,0,5.0,38.0,3.0,1
3,3,39.0,0.0,0.0,3,0,0,3.0,0.0,1,7,0,5.0,11.0,0.0,1
3,4,20.0,0.0,0.0,0,0,0,2.0,2.0,1,3,0,5.0,12.0,0.0,1
3,4,43.0,0.0,0.0,4,0,0,3.75,0.0,0,10,0,5.0,19.0,2.0,1
3,4,43.0,0.0,0.0,0,0,0,5.0,0.0,4,4,1,4.0,25.0,1.0,1
3,4,31.0,0.0,0.033,0,0,0,3.0,0.0,0,7,1,5.0,15.0,0.0,1
3,4,36.0,0.0,0.0,0,0,0,4.0,0.0,2,5,0,4.0,13.0,1.0,1
3,5,36.0,0.0,0.0,0,0,0,3.75,0.5,0,10,0,4.0,18.0,3.0,1
3,7,38.0,0.0,0.0,6,0,0,3.0,0.0,2,20,1,5.0,43.0,2.0,1
3,4,48.0,0.0,0.0,0,0,0,4.0,0.0,1,20,3,4.0,25.0,1.0,1
3,6,36.0,0.0,0.0,0,0,0,4.0,0.0,4,9,0,5.0,33.0,1.0,1
3,3,33.0,0.0,0.0,0,2,0,3.0,0.5,1,4,0,5.0,15.0,0.0,1
3,7,30.0,0.0,0.0,0,0,0,3.0,0.0,0,17,2,4.0,40.0,1.0,1
3,2,61.0,0.0,0.0,0,0,0,4.0,0.0,0,10,0,5.0,16.0,2.0,1
3,5,28.0,0.0,0.0,0,0,0,3.0,0.0,0,14,0,4.5,22.0,0.0,1
3,3,32.0,0.0,0.018,0,0,0,3.75,0.0,1,6,2,4.0,13.0,1.0,1
3,4,40.0,0.0,0.0,1,0,0,3.0,0.0,1,6,3,5.0,19.0,2.0,1
3,6,35.0,0.0,0.012,0,0,0,3.0,0.0,0,10,2,5.0,26.0,1.0,1
3,3,35.0,0.0,0.0,0,0,0,3.0,0.0,1,9,0,5.0,12.0,2.0,1
